"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,5629.11743,482.3012,162.39303,6831.29978,233.55815,46.33778,11.72498
1,5892.47003,6271.02333,478.09607,168561.64921,280.47172,92.43147,8.01824
1,5911.63761,10526.30851,495.76247,257325.47288,0.00002,130.37859,7.92409
1,5889.3923,4469.79617,360.83274,77901.84532,274.05158,73.97683,7.96072
1,5866.44821,12032.64655,245.8708,29197.05149,423.37399,77.69245,10.34259
1,5859.71878,40406.44993,219.71244,20935.83158,294.60469,87.40143,12.92294
1,5865.60353,4588.86275,262.30164,32538.71558,452.83541,83.62947,11.32834
1,5841.22883,11653.57394,148.37547,5588.08681,585.8849,74.6586,19.0596
1,5894.38344,18654.01446,133.60395,9256.90137,373.70368,71.84439,9.12759
1,6085.76452,32200.60836,256.32106,37265.76542,260.95902,107.67272,12.1179
1,5845.56919,36868.28351,128.97894,8317.39334,452.5604,104.18427,13.60662
1,5895.4064,43888.48202,218.40031,16480.90264,166.79345,46.06463,8.7363
1,5923.47089,10243.75035,119.84888,9309.2777,796.24539,141.31611,14.26711
1,5832.34249,10702.67996,246.24512,23344.08846,583.86561,87.19627,14.47319
1,6200.05593,13349.75213,315.41097,34004.69901,409.8513,78.10902,14.5697
1,5971.4363,19572.54673,104.17424,4013.26076,281.49175,46.2678,8.51251
1,5948.96727,25713.73156,167.3671,10343.42314,186.68147,56.38848,9.9891
1,5994.40227,35295.97659,166.16,6216.18202,318.11566,49.5895,14.33963
1,6091.34514,41227.24332,275.05964,27883.94297,238.43348,93.36429,16.13169
1,6074.04293,7674.58108,158.81458,11367.28451,566.67451,119.61246,17.09645
1,6124.48911,16828.4779,237.09787,22605.3168,303.66717,83.8986,13.35956
1,5919.1127,36961.75698,167.78744,11378.44152,393.76681,100.60001,16.02786
1,6163.26713,38726.88155,225.41235,30942.94682,314.40615,144.87451,15.15794
1,5885.54734,40389.66429,153.1807,10055.23961,372.0202,111.18883,16.75089
1,6203.19519,42255.93842,226.51236,14845.61188,187.86629,77.13959,17.05567
1,6093.74829,46206.82305,197.84517,21594.47253,192.39322,77.80802,9.13118
1,6144.84469,33913.06399,159.26519,14900.46775,356.75726,84.79832,9.39485
1,6096.7641,6168.09754,286.21766,32457.434,666.07995,87.38151,14.06522
1,6134.08541,16791.32703,153.37723,5447.4205,483.81829,88.73981,24.71205
1,6175.02422,32112.37832,217.62972,19947.08299,385.31726,118.22848,17.9045
1,6332.65236,33243.90666,229.88514,28132.08554,379.66864,107.57185,12.91684
1,6164.98365,38691.3733,242.40345,42222.03396,239.00183,130.46674,11.58504
1,6343.41613,48386.58153,277.51309,32904.24857,141.30008,97.81206,14.58383
1,6215.13338,50140.8834,114.93582,2268.10852,477.76823,86.47511,32.99346
1,6169.11174,5947.97869,276.99319,34400.88967,511.85823,90.80862,12.9288
1,6191.50491,6690.76881,214.87792,12139.39727,712.75262,100.66841,24.40629
